A;owner;project_name;exempt_labels
8;PowerShell;xComputerManagement;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
0;PowerShell;xComputerManagement;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
4;mauron85;react-native-background-geolocation;['pinned', 'security']
6;mauron85;react-native-background-geolocation;['pinned', 'security']
5;website-scraper;node-website-scraper;['bug', 'maybe-later', 'security']
3;b4b4r07;enhancd;
7;b4b4r07;enhancd;
7;darkblank;darkblank.github.io;['pinned', 'security']
3;darkblank;darkblank.github.io;['pinned', 'security']
8;darkblank;darkblank.github.io;
0;darkblank;darkblank.github.io;
3;darkblank;darkblank.github.io;
9;darkblank;darkblank.github.io;
5;darkblank;darkblank.github.io;
6;darkblank;darkblank.github.io;
9;securestate;king-phisher-templates;['pinned', 'security']
1;minishift;minishift;
6;PowerShell;xStorage;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
5;PowerShell;xStorage;['needs review', 'on hold', 'waiting for CLA pass', 'bug', 'enhancement', 'tests', 'documentation', 'resource proposal', 'on hold']
1;poldracklab;mriqc;['pinned', 'security', 'future']
4;poldracklab;mriqc;['pinned', 'security', 'future', 'low priority', 'help wanted']
0;poldracklab;mriqc;['pinned', 'security', 'future', 'low priority', 'help wanted']
5;poldracklab;mriqc;['pinned', 'security', 'future', 'low priority', 'help wanted']
8;poldracklab;mriqc;['pinned', 'security', 'future', 'low priority', 'help wanted']
9;poldracklab;mriqc;['pinned', 'security', 'future', 'low priority', 'help wanted', 'documentation']
9;poldracklab;mriqc;['pinned', 'security', 'future', 'low priority', 'help wanted', 'documentation', 'new iqm']
2;poldracklab;mriqc;['pinned', 'security', 'future', 'low priority', 'help wanted', 'documentation', 'new iqm']
9;Ubuntu-Solutions-Engineering;conjure;['pinned', 'security', 'documentation']
3;Ubuntu-Solutions-Engineering;conjure;['pinned', 'security', 'documentation', 'enhancement']
8;Ubuntu-Solutions-Engineering;conjure;['pinned', 'security', 'documentation', 'enhancement', 'bug']
0;benbalter;licensee;['pinned', 'security']
4;benbalter;licensee;['pinned', 'security']
5;benbalter;licensee;['pinned', 'security']
8;benbalter;licensee;['pinned', 'security']
9;benbalter;licensee;['pinned', 'security']
8;benbalter;licensee;['pinned', 'security']
8;rsim;ruby-plsql;['pinned', 'security', 'confirmed']
9;rsim;ruby-plsql;['pinned', 'security', 'confirmed']
6;rcarrata;rcarrata.github.io;['pinned', 'security']
2;rcarrata;rcarrata.github.io;['pinned', 'security']
7;rcarrata;rcarrata.github.io;
9;rcarrata;rcarrata.github.io;
1;Factual;kudos;['pinned', 'security']
9;Factual;kudos;['pinned', 'security']
5;Factual;kudos;['pinned', 'security']
1;Factual;kudos;['pinned', 'security']
8;Factual;kudos;['pinned', 'security']
9;TransitApp;SVProgressHUD;['investigating', 'bug', 'enhancement']
0;omahajs;applied;['pinned', 'security']
8;exercism;xcrystal;
0;exercism;xcrystal;
4;vtrnnhlinh;vtrnnhlinh.github.io;['pinned', 'security']
4;vtrnnhlinh;vtrnnhlinh.github.io;['pinned', 'security']
0;vtrnnhlinh;vtrnnhlinh.github.io;
0;vtrnnhlinh;vtrnnhlinh.github.io;
5;vtrnnhlinh;vtrnnhlinh.github.io;
9;vtrnnhlinh;vtrnnhlinh.github.io;
0;vtrnnhlinh;vtrnnhlinh.github.io;
8;vtrnnhlinh;vtrnnhlinh.github.io;
6;vtrnnhlinh;vtrnnhlinh.github.io;
6;vtrnnhlinh;vtrnnhlinh.github.io;
3;vtrnnhlinh;vtrnnhlinh.github.io;
8;vtrnnhlinh;vtrnnhlinh.github.io;
4;vtrnnhlinh;vtrnnhlinh.github.io;
9;vtrnnhlinh;vtrnnhlinh.github.io;
1;vtrnnhlinh;vtrnnhlinh.github.io;
7;vtrnnhlinh;vtrnnhlinh.github.io;
0;labstack;echo;['pinned', 'security']
8;benbalter;jekyll-relative-links;['pinned', 'security']
